Item_Name;Price;Size;Number_of_Rooms;Address;Seller;Tags;Image_URL;Page_Link;Status;Region;Object;Action;Date;Latitude;Longitude;Price_EUR;Rooms;Size_m2;Latitude_n;Longitude_n
Exklusive 3-Zimmer-Dachterrassen-Wohnung mit Panoramablick;1.590 €;82,36 m²;3 Zimmer;5020 Salzburg;Clara Gutsche;"Neu
Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001KFznF-56846a46f7744b8dba0a0bf8a09d1fe6;https://www.immobilienscout24.at/expose/657bf7716ee216156d2e6235;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1590.0;3.0;82.36;47.8245572697886;13.0452812951517
Möblierte 3 Zimmer Wohnung in Altmaxglan mit großer Terrasse;1.576,03 €;67,45 m²;3 Zimmer;5020 Salzburg;Lukas Hausleitner;"Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J00001nFAiM-1637cd9960884baca3129636aba27dce;https://www.immobilienscout24.at/expose/65522a407b6156bcd2dc23ab;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1576.03;3.0;67.45;47.8243134760022;13.0454465793496
3 ZI - ALTBAUWOHNUNG // ERSTBEZUG;1.572,28 €;91,16 m²;3 Zimmer;5020 Salzburg;statt;"Provisionsfrei
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qjT-72d5f27ec68542e1becb0daea52653b3;https://www.immobilienscout24.at/expose/652cdfd4ca8ceb789bd897a1;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1572.28;3.0;91.16;47.8243744347827;13.0452978572878
MIETE SALZBURG-STADT - ANDRÄVIERTEL: Schöne, helle 91 m² 3-Zimmer-Wohnung in beliebter Wohnlage - Altbauflair;1.599 €;91 m²;3 Zimmer;5020 Salzburg;statt;"Provisionsfrei
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E3qxS-1695828192-22bb41ce37bd482c9fb0348acd44cd0a;https://www.immobilienscout24.at/expose/651438cb522a89867a01849a;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1599.0;3.0;91.0;47.8243356865755;13.0454553298195
Zeitlos glücklich!;1.580 €;90 m²;3,5 Zimmer;Wolf-Dietrich-Straße, 5020 Salzburg;Gewerblich;"Provisionsfrei
Balkon
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Wb-1699126657-1610b2567d954bdd9982a5edead9016f;https://www.immobilienscout24.at/expose/6546937344ea6e02e7b6da37;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8070664;13.0465223;1580.0;3.5;90.0;47.806936286064;13.0467146015278
Maisonnettewohnung in Toplage;1.500 €;120 m²;3 Zimmer;5301 Eugendorf;von Privat;"Provisionsfrei
Parkplatz
Möbliert";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J00001kSctW-96bd995cb7cb4f4ead6903dd9b5b1627;https://www.immobilienscout24.at/expose/653ba6bf02546dfd98d33036;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8671332;13.1231841;1500.0;3.0;120.0;47.8673214068416;13.1230555539339
Ruhige 3-Zimmer-Oase für Familien;1.580 €;97 m²;3 Zimmer;5071 Gois;Uschi Moser;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83km-1702311362-901f0dcfa1ef4494b2f1eceeee2dcde8;https://www.immobilienscout24.at/expose/657978c83fbe844863774bde;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.7742667;12.9695953;1580.0;3.0;97.0;47.7742724612791;12.969652635976
Maisonettewohnung für Familien in ruhiger Lage;1.500 €;94 m²;4 Zimmer;Gschwendt 296, 5342 Gschwendt;;"Provisionsfrei
Balkon
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0010J00002Aifol-1afc8dceca7c40f3b9eda6a9b5d48e40;https://www.immobilienscout24.at/expose/6576bbe43fbe844863728d06;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;48.1363359;13.6147859;1500.0;4.0;94.0;48.1362007827503;13.6145859802681
3-Zimmer-Wohnung Erstbezug;1.585 €;81 m²;3 Zimmer;Fischachstraße 9, 5161 Elixhausen;statt;"Provisionsfrei
Balkon
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0015I000003Id24-fabf180eca034f139231147b39a75bac;https://www.immobilienscout24.at/expose/6548a16d44ea6e02e7ba51bf;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8572372;13.066082;1585.0;3.0;81.0;47.8570700513728;13.0659355383121
Hochwertige Dachgeschosswohnung mit Einbaubalkon;Preis auf Anfrage;120 m²;4 Zimmer;Neufahrn 12, 5202 Neufahrn;von Privat;"Provisionsfrei
Balkon
Parkplatz";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.001P9000002uE2N-05f09b31d1c24c128476f504dc5efd75;https://www.immobilienscout24.at/expose/65439b399de2cc7e78dc39ce;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.9210056;13.2222328821179;;4.0;120.0;47.920828175896;13.2222079870028
Exklusive DG Wohnung in Top-Lage Salzburgs;1.750 €;89,46 m²;3 Zimmer;5020 Salzburg;Fabian Vorderegger;"Neu
Provisionsfrei
Terrasse
Video Live-Besichtigung";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Xd-1702281554-fbbd501c9b364ee9bc5b8b0b8a2614fd;https://www.immobilienscout24.at/expose/657bff736ee216156d2e6582;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1750.0;3.0;89.46;47.8245495205773;13.0454890100571
Gepflegte 3 Zimmer Wohnung in der Altstadt;1.641 €;117,6 m²;4 Zimmer;5020 Salzburg;Fabian Vorderegger;"Provisionsfrei
Terrasse
Video Live-Besichtigung
Altbau";https://pictures.immobilienscout24.de/dims3/S3/quality/80/legacy_thumbnail/343x193/format/webp/https://s3-eu-west-1.amazonaws.com/prod.www.immobilienscout24.at/012.0012000001E83Xd-1698739496-a0cf8be4954548408e477154abdb8e2d;https://www.immobilienscout24.at/expose/655b09f27b6abde0b055a9ee;Available;salzburg/salzburg;wohnung;mieten;2023-12-17;47.8243682;13.0453162;1641.0;4.0;117.6;47.8245369982955;13.0454513202974
